Name,Free Qty,Pledged Qty,Day Change %,LTP,Quantity,Day Change,Current Value,Source Name,Display Name,Symbol,Yahoo Ticker,Theme,Portfolio Bucket,Ticker Confidence,Ticker Note,Day P&L,Previous Close,P&L Matched,P&L Lots,P&L Quantity,Costed Quantity,Uncosted Quantity,Known Cost Value,Average Recorded Cost,Broker Unrealized P&L,Return on Recorded Cost %,Cost Basis Coverage %,Quantity Reconciliation %,Cost Basis Status,Cost Basis Note,Price Source,Quote Status,Quote Note,Weight %,Technical As Of,Technical Downloaded,Technical Status,Technical Score,Technical Note,RS Trend,RS vs 50D %,RS 3M %,RS Leader,RSI 14,P&F Signal,Above 50DMA,Above 200DMA,50DMA Distance %,200DMA Distance %,52W High Distance %,Technical Error,Session Volume,Volume vs 20D,Price Date,Price Timestamp,Quote Type,Intraday Alert,Last Refreshed
SANSERA,50.0,0.0,1.9721729709473608,4002.0,50.0,77.39990234375,200100.0,SANSERA,Sansera Engineering,SANSERA,SANSERA.NS,Auto Components,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,3869.9951171875,3924.60009765625,True,1,50,50,0.0,118626.995,2372.54,77548.01,65.37,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",SANSERA.NS,Updated,,4.474055104760149,2026-08-17,True,Leader / hold,85,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; p&f shows a bullish breakout,"[100.0,98.8,98.69,99.12,99.06,101.54,102.71,100.18,101.94,99.9,95.77,99.47,106.72,106.58,108.04,109.43,108.08,107.3,106.41,104.77,106.24,103.12,103.37,102.16,101.2,100.02,99.64,98.76,98.68,99.06,98.36,101.54,116.89,116.7,117.64,116.01,118.42,116.91,116.08,122.1,121.19,121.12,122.39,121.89,122.71,121.1,121.26,120.63,120.06,115.23,116.53,116.46,118.71,120.11,126.44,127.15,127.85,128.07,129.83,127.69,129.24,130.68,127.65,126.09,125.72,125.84,130.76,129.64,128.68,128.97,129.25,128.3,132.13,128.83,128.53,130.43,126.34,127.75,128.25,134.83,137.67,146.83,149.34,151.96,148.9,143.83,151.01,147.09,153.61,156.48]",20.16448889389273,57.04368604024328,True,71.59,Bullish P&F breakout,True,True,22.212504251665965,68.69156971356954,0.0,,176697.0,0.5403274770360746,2026-08-17,2026-08-17 15:30 IST,Yahoo 5-minute quote,,2026-08-17T17:15+05:30
KPL,60.0,0.0,4.702461738869479,3598.10009765625,60.0,161.60009765625,215886.005859375,KPL,Kwality Pharmaceuticals,KPL,KPL.NS,Pharma,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,9696.005859375,3436.5,True,1,60,60,0.0,95167.722,1586.13,109996.28,115.58,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",KPL.NS,Updated,,4.827015924844658,2026-08-14,True,Partial: Constructive,60,"Price is above the 50dma; relative strength is above its 50-day average; rsi is extended; p&f shows a bullish breakout History available for 82 trading days, so long-term context is limited. Latest refresh unavailable; showing the previous successful technical snapshot.","[100.0,94.98,98.31,101.54,98.93,95.87,96.32,95.75,95.56,99.63,100.0,101.85,100.13,101.04,99.67,100.32,99.6,98.94,101.62,108.66,117.35,120.0,122.13,124.91,129.22,124.59,128.68,134.87,131.16,135.82,139.34,140.52,140.83,136.12,138.49,150.56,143.07,147.45,140.53,140.01,136.56,135.05,143.13,139.03,138.67,141.77,141.66,157.7,162.68,155.8,157.49,153.85,151.66,145.83,149.01,150.22,147.02,149.91,149.91,153.27,159.98,153.91,155.3,151.68,154.06,154.29,160.44,154.22,147.2,147.05,144.22,145.48,142.98,145.06,143.47,149.45,146.8,174.94,184.65,184.39,185.61,192.22]",26.88243626966258,89.14586849855368,True,77.68,Bullish P&F breakout,True,,29.842994064817454,,0.0,Latest refresh unavailable; showing the previous successful technical snapshot. Not enough daily price history,81902.0,1.0566257892963884,2026-08-17,2026-08-17 15:25 IST,Yahoo 5-minute quote,,2026-08-17T17:15+05:30
PARAS,100.0,0.0,0.7985480943738743,1388.5,100.0,11.0,138850.0,PARAS,Paras Defence and Space Technologies,PARAS,PARAS.NS,Defence,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,1100.0,1377.5,True,1,100,100,0.0,108943.77,1089.44,29316.23,26.91,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",PARAS.NS,Updated,,3.104560476241613,2026-08-17,True,Leader / hold,100,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is in a constructive momentum zone; p&f shows a bullish breakout,"[100.0,99.69,98.85,98.83,99.83,99.49,103.89,108.61,111.05,114.26,110.57,110.2,115.08,117.7,114.89,114.24,113.71,114.47,113.04,110.67,112.31,111.35,118.58,118.12,118.6,112.79,111.2,108.41,104.8,103.5,105.29,104.6,108.85,111.63,116.49,116.22,114.57,112.56,113.26,118.65,117.32,124.39,134.13,136.04,144.76,147.02,140.91,152.68,152.13,148.66,174.92,177.7,190.84,186.12,181.57,175.0,168.55,162.22,176.03,173.31,181.33,174.83,182.71,174.11,174.21,163.84,166.72,162.64,160.59,162.11,159.91,157.62,160.7,162.64,162.16,163.61,158.56,161.05,161.58,169.66,171.51,170.83,174.54,168.85,166.43,168.47,167.64,175.3,181.25,182.51]",11.123528166753193,64.12866525109648,True,67.57,Bullish P&F breakout,True,True,12.089522462113212,65.08988032444067,-1.4304493000270924,,811255.0,0.7919770510138927,2026-08-17,2026-08-17 15:25 IST,Yahoo 5-minute quote,,2026-08-17T17:15+05:30
ARVIND,200.0,0.0,-0.6029040716098888,552.2999877929688,200.0,-3.35003662109375,110459.99755859376,ARVIND,Arvind,ARVIND,ARVIND.NS,Textiles / Apparel,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-670.00732421875,555.6500244140625,True,1,200,200,0.0,99225.5,496.13,15174.5,15.29,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",ARVIND.NS,Updated,,2.469785686900649,2026-08-17,True,Leader / hold,80,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is in a constructive momentum zone,"[100.0,101.42,105.81,106.73,106.55,104.07,104.22,104.88,104.08,102.96,101.39,100.55,100.35,101.04,101.68,101.56,101.07,101.69,102.09,102.04,104.43,103.7,102.57,99.23,112.47,109.16,111.56,114.64,114.07,111.88,115.53,121.12,123.41,123.22,124.23,121.58,120.87,122.64,120.82,119.72,122.67,128.12,124.82,128.39,126.99,127.94,128.27,128.35,129.38,126.7,126.05,124.72,124.75,127.51,128.86,126.39,130.8,139.06,137.65,138.74,147.61,139.92,141.12,141.56,135.35,133.5,132.05,132.16,129.02,133.12,132.91,132.69,131.72,132.23,128.4,131.69,129.11,125.85,126.53,124.32,127.85,132.93,132.36,133.29,136.46,133.12,137.13,136.61,133.62,133.66]",1.6613335741853197,19.81171480408004,True,55.21,"Rising P&F column, no fresh breakout yet",True,True,4.174917503945541,37.21150822568096,-5.9274381264004745,,944676.0,1.7309181217549614,2026-08-17,2026-08-17 15:25 IST,Yahoo 5-minute quote,,2026-08-17T17:15+05:30
INDSWFTLAB,400.0,0.0,2.906172841983401,313.0199890136719,400.0,8.839996337890625,125207.99560546876,INDSWFTLAB,Ind-Swift Laboratories,INDSWFTLAB,INDSWFTLAB.NS,Pharma,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,3535.99853515625,304.17999267578125,True,1,400,400,0.0,99135.12,247.84,22820.88,23.02,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",INDSWFTLAB.NS,Updated,,2.799537590681828,2026-08-17,True,Leader / hold,80,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is extended; p&f shows a bullish breakout,"[100.0,99.63,97.71,101.96,96.96,93.97,93.74,94.87,95.16,85.23,89.96,92.79,91.8,89.59,90.26,86.9,89.82,87.89,89.6,88.05,92.74,91.28,87.24,86.19,87.16,88.83,88.53,85.29,85.25,84.23,85.09,85.39,85.28,82.93,82.36,84.41,83.52,95.64,104.5,103.12,100.51,99.81,101.03,101.17,103.21,105.33,103.44,103.85,101.7,101.59,101.19,104.71,116.2,116.7,120.54,120.5,125.62,128.85,127.22,124.61,127.37,132.44,136.52,132.46,140.86,145.19,150.08,144.51,140.53,138.3,143.02,141.97,142.65,140.49,141.27,147.11,144.59,135.94,134.09,137.39,138.99,139.1,137.42,138.23,142.58,170.97,179.74,177.33,183.2,188.33]",42.666474896695036,112.73225400377682,True,80.46,Bullish P&F breakout,True,True,43.380761119331446,114.90861752536073,0.0,,2287997.0,1.7044988809555337,2026-08-17,2026-08-17 15:30 IST,Yahoo 5-minute quote,,2026-08-17T17:15+05:30
TITANBIO-BE,150.0,0.0,0.1216249069755814,411.6000061035156,150.0,0.5,61740.000915527344,TITANBIO-BE,Titan Biotech,TITANBIO-BE,TITANBIO.NS,Biotechnology,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,75.0,411.1000061035156,True,1,150,150,0.0,37291.92,248.61,24373.08,65.36,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",TITANBIO.BO,Updated,,1.3804506060170485,2026-08-17,True,Risk review,25,Price is above the 200dma; relative strength is below its 50-day average; rsi is in a constructive momentum zone,"[100.0,105.17,108.74,102.98,93.99,89.1,83.58,80.02,82.15,85.71,88.88,88.08,87.75,92.16,92.4,91.68,87.82,84.64,88.78,93.62,93.08,90.87,86.55,84.22,83.68,84.25,85.48,85.58,84.78,83.55,80.06,76.69,74.62,78.26,82.05,85.31,83.09,81.11,80.39,84.2,84.39,83.33,81.63,81.95,81.32,80.2,82.75,83.59,82.08,81.62,80.1,78.02,77.06,78.0,76.82,75.45,74.4,71.94,72.37,70.7,66.86,66.32,69.72,72.88,70.77,71.93,69.77,70.75,70.51,68.91,71.93,74.18,75.5,76.33,74.84,73.72,75.84,73.84,73.85,72.53,71.97,71.51,70.8,71.38,69.38,69.29,68.75,67.82,71.74,71.75]",-3.6375183344390827,-16.054717105286866,False,51.45,"Rising P&F column, no fresh breakout yet",False,True,-0.3872200601394482,24.2739571315671,-22.222222862970888,,24724.0,1.353545639189537,2026-08-17,2026-08-17 15:30 IST,Yahoo 5-minute quote,,2026-08-17T17:15+05:30
SHILPAMED,200.0,0.0,-1.5450136504904233,809.2999877929688,200.0,-12.70001220703125,161859.99755859375,SHILPAMED,Shilpa Medicare,SHILPAMED,SHILPAMED.NS,Pharma,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-2540.00244140625,822.0,True,1,200,200,0.0,114506.38,572.53,49503.62,43.23,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",SHILPAMED.NS,Updated,,3.6190432200574287,2026-08-17,True,Leader / hold,80,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is extended; p&f shows a bullish breakout,"[100.0,103.96,103.06,102.58,101.66,105.28,104.23,103.99,101.25,100.08,98.5,98.86,96.96,97.72,103.06,100.92,99.72,97.69,96.85,98.32,100.63,101.92,103.83,102.34,101.19,106.52,104.99,104.41,105.95,113.06,112.61,110.75,111.1,111.01,114.5,118.44,116.16,113.07,116.45,117.94,122.16,122.39,124.32,127.7,127.57,134.7,134.14,130.42,129.26,124.26,128.08,132.31,125.71,126.9,125.66,136.8,133.75,132.67,133.64,138.83,131.51,137.75,139.78,136.35,137.06,138.05,142.36,141.76,142.21,141.66,146.15,144.77,141.2,139.28,139.73,141.25,137.45,136.45,136.52,139.08,144.46,161.72,166.39,170.66,180.15,182.72,179.06,179.08,183.75,180.73]",27.091230070406258,72.1485738092575,True,75.34,Bullish P&F breakout,True,True,29.245843589678632,88.87210912683585,-1.5450136504904233,,688286.0,0.2222071060779157,2026-08-17,2026-08-17 15:30 IST,Yahoo 5-minute quote,,2026-08-17T17:15+05:30
SHYAMMETL,100.0,0.0,-1.270503349545471,986.9000244140624,100.0,-12.699951171875,98690.00244140624,SHYAMMETL,Shyam Metalics and Energy,SHYAMMETL,SHYAMMETL.NS,Metals,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-1269.9951171875,999.5999755859376,True,1,100,100,0.0,107291.52,1072.92,-7111.52,-6.63,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",SHYAMMETL.NS,Updated,,2.2066192364406056,2026-08-17,True,Monitor,55,Price is above the 50dma; price is above the 200dma; rsi is in a constructive momentum zone,"[100.0,99.62,98.31,101.27,99.26,98.13,97.84,97.62,98.98,98.62,97.48,96.23,92.71,91.42,93.71,94.08,100.06,98.86,99.59,99.32,102.3,100.68,98.65,96.3,98.36,95.71,94.93,96.78,97.6,97.47,98.58,99.79,101.18,102.78,104.07,104.6,105.91,105.5,106.8,106.78,109.31,109.4,111.38,111.73,109.91,108.3,109.34,110.31,109.35,106.35,105.19,103.84,105.62,105.0,103.59,104.82,102.98,103.2,104.28,103.62,103.65,103.72,103.07,102.97,103.3,101.2,102.0,103.62,109.2,110.52,109.99,111.03,109.44,112.8,111.54,110.95,109.85,109.86,109.01,107.68,107.63,108.65,107.71,106.8,105.67,103.66,103.6,102.55,105.52,104.07]",-2.531991536997824,9.630547770369269,False,45.86,"Falling P&F column, wait for reversal",True,True,0.029159914589960145,12.295181572913648,-6.719342004791939,,420321.0,0.9173030324920304,2026-08-17,2026-08-17 15:30 IST,Yahoo 5-minute quote,,2026-08-17T17:15+05:30
AZAD,50.0,0.0,6.700266768857555,2899.89990234375,50.0,182.099853515625,144994.9951171875,AZAD,Azad Engineering,AZAD,AZAD.NS,Industrials / Aerospace,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,9104.99267578125,2717.800048828125,True,1,50,50,0.0,118023.995,2360.48,17471.01,14.8,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",AZAD.NS,Updated,,3.241957011837709,2026-08-17,True,Leader / hold,80,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is extended; p&f shows a bullish breakout,"[100.0,100.9,100.27,100.58,100.56,102.62,103.27,106.29,109.6,110.39,111.55,111.12,108.8,113.96,124.23,124.43,131.18,128.73,126.43,127.8,126.84,126.29,125.88,126.98,130.92,124.29,124.1,123.03,125.32,121.06,110.88,109.5,114.34,115.57,116.3,115.23,118.92,115.47,114.91,114.22,119.11,121.22,127.03,127.93,127.27,128.86,126.56,124.43,124.11,120.84,120.64,122.12,116.32,117.74,116.59,115.52,113.07,114.47,112.86,116.42,115.25,116.09,120.44,125.34,126.94,126.21,138.29,136.83,131.04,132.56,129.95,133.44,129.49,132.27,137.26,135.68,133.14,131.98,124.91,125.62,129.91,133.85,135.04,136.5,138.87,134.54,134.63,144.38,148.33,158.11]",23.71936845470133,27.40951812437786,True,75.75,Bullish P&F breakout,True,True,26.764153654957813,56.171611057450455,0.0,,2663568.0,4.458166278410775,2026-08-17,2026-08-17 15:30 IST,Yahoo 5-minute quote,Exceptional move (+6.70%) on 4.5x 20-day volume,2026-08-17T17:15+05:30
UJJIVANSFB,1500.0,0.0,-0.3587720875547484,72.20999908447266,1500.0,-0.2600021362304687,108314.99862670898,UJJIVANSFB,Ujjivan Small Finance Bank,UJJIVANSFB,UJJIVANSFB.NS,Banking,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-390.0032043457031,72.47000122070312,True,1,1500,1500,0.0,108433.05,72.29,316.95,0.29,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",UJJIVANSFB.NS,Updated,,2.421825449914622,2026-08-17,True,Leader / hold,100,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is in a constructive momentum zone; p&f shows a bullish breakout,"[100.0,103.53,104.26,103.36,102.84,103.35,104.55,105.36,99.93,100.56,98.46,96.44,97.91,97.82,98.55,96.76,96.54,93.86,95.21,96.11,103.07,103.63,102.95,101.47,100.97,96.41,95.75,94.39,92.82,92.2,89.49,88.67,87.26,86.46,85.67,88.68,89.09,87.55,88.71,88.93,87.75,89.26,87.72,88.83,87.61,89.22,88.81,90.08,90.47,92.82,92.98,91.67,94.38,92.11,90.86,90.67,92.27,91.05,92.65,95.73,98.72,98.36,95.6,95.46,98.4,96.62,100.04,103.1,105.45,103.3,103.61,104.08,103.22,110.91,113.91,113.83,111.28,110.98,111.28,110.88,110.17,108.96,113.39,110.05,108.75,109.26,112.48,110.39,113.21,112.69]",12.344422585362768,17.688457667457037,True,62.55,Bullish P&F breakout,True,True,13.631712604069989,24.037637092075048,-0.35877208755474843,,8298203.0,0.3176861185142104,2026-08-17,2026-08-17 15:30 IST,Yahoo 5-minute quote,,2026-08-17T17:15+05:30
MONARCH,200.0,0.0,-0.3968300784245482,389.0499877929688,200.0,-1.550018310546875,77809.99755859375,MONARCH,Monarch Networth Capital,MONARCH,MONARCH.NS,Capital Markets,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-310.003662109375,390.6000061035156,True,1,200,200,0.0,79093.26,395.47,-1353.26,-1.71,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",MONARCH.NS,Updated,,1.7397612032903602,2026-08-17,True,Leader / hold,80,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is in a constructive momentum zone,"[100.0,99.9,103.6,107.56,105.48,102.31,103.27,103.87,103.85,103.23,101.56,99.36,100.01,101.55,99.84,101.28,102.4,101.2,100.08,100.74,101.62,101.63,102.68,102.49,101.14,100.09,99.08,98.58,102.16,99.76,104.98,103.17,102.4,103.98,105.38,106.5,107.1,112.1,110.45,109.74,113.22,113.32,112.95,113.3,113.09,112.04,113.51,112.52,113.21,111.14,113.53,112.15,113.07,113.55,114.56,113.22,112.86,110.42,111.08,110.04,111.22,112.31,111.82,113.86,111.91,112.84,113.16,114.84,115.54,115.18,114.3,115.87,115.61,115.77,116.15,127.46,125.29,123.48,123.17,120.81,124.44,123.26,123.27,123.6,123.53,118.14,118.32,118.56,122.99,122.38]",5.463762052586008,23.514473611897067,True,60.21,"Falling P&F column, wait for reversal",True,True,8.103072790788502,24.413604581339122,-2.1504069867445796,,65691.0,0.1462213301820582,2026-08-17,2026-08-17 15:25 IST,Yahoo 5-minute quote,,2026-08-17T17:15+05:30
THANGAMAYL,10.0,0.0,-1.6675879859959442,5336.5,10.0,-90.5,53365.0,THANGAMAYL,Thangamayil Jewellery,THANGAMAYL,THANGAMAYL.NS,Jewellery,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-905.0,5427.0,True,1,10,10,0.0,59493.237,5949.32,-5153.24,-8.66,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",THANGAMAYL.NS,Updated,,1.193193156749252,2026-08-17,True,Risk review,10,Price is above the 200dma; relative strength is below its 50-day average,"[100.0,104.28,106.87,107.32,108.39,108.4,110.2,109.74,109.71,106.64,104.91,104.26,101.63,96.41,97.79,100.06,100.34,100.87,100.97,101.22,100.66,101.28,100.54,103.81,98.77,92.72,91.74,89.78,89.66,88.54,90.4,93.1,95.34,94.11,93.36,92.42,95.23,103.59,106.84,114.43,120.19,137.79,134.09,138.88,136.64,137.95,138.36,136.73,135.45,133.25,137.44,132.21,132.53,134.52,131.37,132.7,137.06,144.49,156.69,144.61,152.84,149.25,151.56,153.73,166.59,159.34,156.06,148.48,154.73,158.08,152.79,154.67,152.52,167.83,168.52,176.11,172.34,154.14,139.18,117.24,111.91,117.48,122.63,125.43,126.31,123.36,125.43,123.79,128.42,126.15]",-10.780463034381249,37.51997787823926,False,43.74,"Rising P&F column, no fresh breakout yet",False,True,-8.904915518081612,29.160311256823057,-26.992270333128122,,80252.0,0.275055708103419,2026-08-17,2026-08-17 15:25 IST,Yahoo 5-minute quote,,2026-08-17T17:15+05:30
AJANTPHARM,30.0,0.0,1.2361114610155657,3718.199951171875,30.0,45.39990234375,111545.99853515624,AJANTPHARM,Ajanta Pharma,AJANTPHARM,AJANTPHARM.NS,Pharma,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,1361.9970703125,3672.800048828125,True,1,30,30,0.0,107507.712,3583.59,2172.29,2.02,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",AJANTPHARM.NS,Updated,,2.494067686965437,2026-08-17,True,Leader / hold,85,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; p&f shows a bullish breakout,"[100.0,99.25,96.03,94.54,90.75,91.95,92.61,96.36,93.75,91.37,89.05,88.93,88.84,88.47,89.16,89.69,89.69,87.83,89.42,90.79,92.74,92.57,96.78,94.88,93.49,95.18,98.43,98.85,101.96,99.88,101.11,101.29,98.95,97.97,96.54,94.8,94.79,92.39,90.93,92.11,91.47,92.53,92.71,93.97,94.61,94.99,98.19,101.21,98.47,94.76,94.98,94.69,94.2,93.85,97.3,98.12,99.93,98.19,104.88,105.63,102.6,102.02,101.57,102.55,100.75,101.13,100.65,100.68,102.7,102.9,103.99,104.25,103.55,105.59,103.32,102.52,100.98,101.97,103.5,104.26,105.08,103.39,104.92,105.21,105.0,104.94,105.71,107.67,110.22,111.47]",10.36842840112615,13.242081559946373,True,73.92,Bullish P&F breakout,True,True,12.36789860564571,27.81704203355786,0.0,,107957.0,0.9516602066101496,2026-08-17,2026-08-17 15:25 IST,Yahoo 5-minute quote,,2026-08-17T17:15+05:30
ZYDUSWELL,200.0,0.0,-0.0293932784778405,510.1499938964844,200.0,-0.149993896484375,102029.99877929688,ZYDUSWELL,Zydus Wellness,ZYDUSWELL,ZYDUSWELL.NS,Consumer Staples,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-29.998779296875,510.2999877929688,True,1,200,200,0.0,116799.5,584.0,-14529.5,-12.44,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",ZYDUSWELL.NS,Updated,,2.281298535118365,2026-08-17,True,Risk review,0,Price is above the 200dma; relative strength is below its 50-day average; p&f shows a bearish breakdown,"[100.0,113.21,109.9,102.46,103.85,102.6,109.31,105.19,103.02,101.13,101.37,102.36,101.69,101.52,101.05,99.93,99.01,101.29,103.82,103.39,102.16,100.79,98.55,101.18,100.96,102.39,103.53,100.79,100.2,98.97,100.77,100.95,97.49,96.71,94.95,93.46,93.46,99.92,98.62,99.25,100.78,100.11,101.12,105.89,101.76,100.68,102.25,101.01,98.34,99.93,98.8,98.18,99.57,103.89,103.6,102.4,101.53,112.02,112.72,110.6,115.07,115.96,112.44,111.1,109.62,110.39,113.07,112.92,110.35,110.08,115.35,112.95,115.34,107.55,109.8,107.71,105.57,110.64,108.42,105.64,104.31,100.54,101.27,101.45,97.4,95.45,95.49,94.89,96.51,96.39]",-8.358641296540547,-6.900199405180296,False,38.61,Bearish P&F breakdown,False,True,-6.275246361065811,7.96282046518304,-15.327801842907164,,116156.0,0.2767501937329981,2026-08-17,2026-08-17 15:25 IST,Yahoo 5-minute quote,,2026-08-17T17:15+05:30
MOTHERSON,750.0,0.0,-0.1426057568699179,168.05999755859375,750.0,-0.2400054931640625,126044.99816894533,MOTHERSON,Samvardhana Motherson International,MOTHERSON,MOTHERSON.NS,Auto Components,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,-180.00411987304688,168.3000030517578,True,1,750,750,0.0,115365.075,153.82,11257.43,9.76,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",MOTHERSON.NS,Updated,,2.8182522113306017,2026-08-17,True,Leader / hold,85,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; p&f shows a bullish breakout,"[100.0,99.81,99.55,104.17,102.87,106.16,104.3,105.78,104.49,105.06,103.71,104.5,110.44,107.4,107.34,107.61,105.06,103.47,102.65,101.19,101.14,104.85,105.85,107.08,106.57,104.16,105.26,103.87,107.53,106.64,107.95,107.98,112.22,111.39,110.09,109.45,114.67,119.13,117.3,119.83,121.1,119.5,119.34,116.64,119.41,119.56,119.31,118.74,121.0,119.85,117.47,116.75,117.32,117.14,116.39,116.85,123.32,122.85,120.35,119.04,118.5,117.62,116.31,114.74,114.22,114.41,113.36,113.86,113.1,112.84,114.39,115.15,113.72,117.85,117.71,118.96,117.82,115.6,116.55,121.3,118.72,121.34,122.47,132.79,131.48,132.37,132.25,130.32,132.0,131.68]",9.998373159025409,25.09298680895766,True,71.96,Bullish P&F breakout,True,True,12.611826205458376,31.803821206384562,-0.8495589624815669,,7429492.0,0.3355822449460511,2026-08-17,2026-08-17 15:15 IST,Yahoo 5-minute quote,,2026-08-17T17:15+05:30
HSCL,150.0,0.0,1.1887167910796137,787.4000244140625,150.0,9.25,118110.00366210938,HSCL,Himadri Speciality Chemical,HSCL,HSCL.NS,Specialty Chemicals,Monitor,Mapped,Ticker mapped for Yahoo/NSE technical refresh.,1387.5,778.1500244140625,True,1,150,150,0.0,109530.195,730.2,7919.8,7.23,100.0,100.0,Cost basis available,"Quantity, average price, invested value, and unrealized P&L were supplied in the portfolio export.",HSCL.NS,Updated,,2.640832907584709,2026-08-17,True,Leader / hold,80,Price is above the 50dma; price is above the 200dma; relative strength is above its 50-day average; rsi is in a constructive momentum zone,"[100.0,100.45,99.66,100.25,99.04,97.93,97.97,98.65,100.53,99.57,99.29,98.57,101.63,104.97,108.37,115.75,114.93,114.78,120.92,123.22,122.91,123.79,125.14,119.47,123.82,120.61,121.96,123.44,121.68,118.11,109.36,110.81,113.72,115.81,115.14,115.2,117.16,117.22,118.84,119.69,120.37,120.04,127.46,136.52,134.21,135.03,139.68,138.21,135.09,131.0,134.17,136.08,133.55,129.69,126.13,124.21,128.46,132.15,132.15,132.31,124.9,127.56,131.19,131.27,123.48,124.77,124.86,125.35,125.64,127.93,129.52,137.67,141.75,146.28,150.67,152.81,151.06,142.96,145.89,144.59,140.58,141.43,140.91,143.91,141.96,144.61,141.41,142.36,144.98,147.65]",9.103484739332423,21.061745916667828,True,63.14,"Falling P&F column, wait for reversal",True,True,10.896881688234306,44.25599391092278,-1.6856036444594436,,3100218.0,0.3800240550569554,2026-08-17,2026-08-17 15:30 IST,Yahoo 5-minute quote,,2026-08-17T17:15+05:30
